Handle,Title,,Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
microsoft-xbox-wireless-controller-minecraft-creeper,Microsoft - Xbox Wireless Controller - Minecraft Creeper,,The Underground Games,Xbox Accessory,,true,Title,Default Title,,,,,6036601,499,shopify,1,deny,manual,44.99,64.99,true,true,889842182347,https://cdn.shopify.com/s/files/1/0071/7733/8939/products/6036601_sd.jpg_maxHeight_1000_maxWidth_1000.jpg?v=1533621345,1,,false,,,,,,,,,,,,,,,,,lb,,
microsoft-xbox-wireless-controller-gray-and-green,Microsoft - Xbox Wireless Controller - Gray and Green,,The Underground Games,Xbox Accessory,,true,Title,Default Title,,,,,6022905,499,shopify,1,deny,manual,44.99,64.99,true,true,889842195965,https://cdn.shopify.com/s/files/1/0071/7733/8939/products/6022905_sd.jpg_maxHeight_1000_maxWidth_1000.jpg?v=1533621239,1,,false,,,,,,,,,,,,,,,,,lb,,
microsoft-xbox-wireless-controller-minecraft-pig,Microsoft - Xbox Wireless Controller - Minecraft Pig,,The Underground Games,Xbox Accessory,,true,Title,Default Title,,,,,6036606,499,shopify,1,deny,manual,44.99,64.99,true,true,889842182316,https://cdn.shopify.com/s/files/1/0071/7733/8939/products/6036606_sd.jpg_maxHeight_1000_maxWidth_1000.jpg?v=1533621124,1,,false,,,,,,,,,,,,,,,,,lb,,
microsoft-xbox-wireless-controller-white,Microsoft - Xbox Wireless Controller - White,,The Underground Games,Xbox Accessory,,true,Title,Default Title,,,,,5396001,499,shopify,1,deny,manual,39.99,59.99,true,true,889842084337,https://cdn.shopify.com/s/files/1/0071/7733/8939/products/5396001_sd.jpg_maxHeight_1000_maxWidth_1000.jpg?v=1533620801,1,,false,,,,,,,,,,,,,,,,,lb,,
microsoft-xbox-wireless-controller-black,Microsoft - Xbox Wireless Controller - Black,,The Underground Games,Xbox Accessory,,true,Title,Default Title,,,,,5621843,499,shopify,1,deny,manual,39.99,59.99,true,true,889842159349,https://cdn.shopify.com/s/files/1/0071/7733/8939/products/5621843_sd.jpg_maxHeight_1000_maxWidth_1000.jpg?v=1533620681,1,,false,,,,,,,,,,,,,,,,,lb,,
bayonetta-2-nintendo-switch,Bayonetta 2 - Nintendo Switch,,The Underground Games,game,,true,Title,Default Title,,,,,6176600,91,shopify,1,deny,manual,39.99,59.99,true,true,45496591861,https://cdn.shopify.com/s/files/1/0071/7733/8939/products/6176600_sd.jpg_maxHeight_1000_maxWidth_1000.jpg?v=1533618816,1,,false,,,,,,,,,,,,,,,,,lb,,
minecraft-nintendo-switch,Minecraft - Nintendo Switch,,The Underground Games,game,,true,Title,Default Title,,,,,5723312,91,shopify,1,deny,manual,29.99,,true,true,45496591779,https://cdn.shopify.com/s/files/1/0071/7733/8939/products/5723312.png?v=1533618607,1,,false,,,,,,,,,,,,,,,,,lb,,
sushi-striker-the-way-of-sushido-nintendo-switch,Sushi Striker: The Way of Sushido - Nintendo Switch,,The Underground Games,game,,true,Title,Default Title,,,,,6219504,91,shopify,1,deny,manual,34.99,49.99,true,true,45496592592,https://cdn.shopify.com/s/files/1/0071/7733/8939/products/6219504_sd.jpg_maxHeight_1000_maxWidth_1000.jpg?v=1533618412,1,,false,,,,,,,,,,,,,,,,,lb,,
octopath-traveler-nintendo-switch,Octopath Traveler - Nintendo Switch,,The Underground Games,game,,true,Title,Default Title,,,,,5722100,91,shopify,1,deny,manual,59.99,,true,true,45496592134,https://cdn.shopify.com/s/files/1/0071/7733/8939/products/5722100_sd.jpg_maxHeight_1000_maxWidth_1000.jpg?v=1533617458,1,,false,,,,,,,,,,,,,,,,,lb,,
metal-gear-survive-playstation-4,Metal Gear Survive - PlayStation 4,,The Underground Games,game,,true,Title,Default Title,,,,,6149301,91,shopify,1,deny,manual,19.99,29.99,true,true,83717203285,https://cdn.shopify.com/s/files/1/0071/7733/8939/products/6149301_sd.jpg_maxHeight_1000_maxWidth_1000.jpg?v=1533617213,1,,false,,,,,,,,,,,,,,,,,lb,,
the-underground-games-donation,The Underground Games Donation,,The Underground Games,service,,true,Title,Default Title,,,,,9198900,0,,1,deny,manual,5,,false,false,,https://cdn.shopify.com/s/files/1/0071/7733/8939/products/The_Underground_logo_white.png?v=1533436354,1,,false,,,,,,,,,,,,,,,,,lb,,
